length,src_port,dst_port,flags,src_ip,dst_ip,protocol,Label
74,443.0,50626.0,1,0,0,0,1
74,443.0,50626.0,1,0,0,0,1
756,443.0,50626.0,3,0,0,0,1
788,443.0,50626.0,3,0,0,0,1
74,50626.0,443.0,1,0,0,0,1
788,443.0,50626.0,3,0,0,0,1
74,50626.0,443.0,1,0,0,0,1
788,443.0,50626.0,3,0,0,0,1
74,50626.0,443.0,1,0,0,0,1
788,443.0,50626.0,3,0,0,0,1
788,443.0,50626.0,3,0,0,0,1
74,50626.0,443.0,1,0,0,0,1
788,443.0,50626.0,3,0,0,0,1
121,443.0,50626.0,3,0,0,0,1
373,443.0,50626.0,3,0,0,0,1
105,443.0,50626.0,3,0,0,0,1
86,50626.0,443.0,1,0,0,0,1
74,50626.0,443.0,1,0,0,0,1
74,50626.0,443.0,1,0,0,0,1
820,443.0,50626.0,3,0,0,0,1
820,443.0,50626.0,3,0,0,0,1
74,50626.0,443.0,1,0,0,0,1
820,443.0,50626.0,3,0,0,0,1
820,443.0,50626.0,3,0,0,0,1
74,50626.0,443.0,1,0,0,0,1
820,443.0,50626.0,3,0,0,0,1
74,50626.0,443.0,1,0,0,0,1
820,443.0,50626.0,3,0,0,0,1
820,443.0,50626.0,3,0,0,0,1
74,50626.0,443.0,1,0,0,0,1
820,443.0,50626.0,3,0,0,0,1
820,443.0,50626.0,3,0,0,0,1
852,443.0,50626.0,3,0,0,0,1
852,443.0,50626.0,3,0,0,0,1
74,50626.0,443.0,1,0,0,0,1
852,443.0,50626.0,3,0,0,0,1
852,443.0,50626.0,3,0,0,0,1
74,50626.0,443.0,1,0,0,0,1
852,443.0,50626.0,3,0,0,0,1
74,50626.0,443.0,1,0,0,0,1
1035,443.0,50626.0,3,0,0,0,1
1374,443.0,50626.0,1,0,0,0,1
86,50626.0,443.0,1,0,0,0,1
74,50626.0,443.0,1,0,0,0,1
884,443.0,50626.0,3,0,0,0,1
884,443.0,50626.0,3,0,0,0,1
74,50626.0,443.0,1,0,0,0,1
884,443.0,50626.0,3,0,0,0,1
884,443.0,50626.0,3,0,0,0,1
74,50626.0,443.0,1,0,0,0,1
884,443.0,50626.0,3,0,0,0,1
74,50626.0,443.0,1,0,0,0,1
884,443.0,50626.0,3,0,0,0,1
916,443.0,50626.0,3,0,0,0,1
74,50626.0,443.0,1,0,0,0,1
916,443.0,50626.0,3,0,0,0,1
74,50626.0,443.0,1,0,0,0,1
916,443.0,50626.0,3,0,0,0,1
916,443.0,50626.0,3,0,0,0,1
74,50626.0,443.0,1,0,0,0,1
916,443.0,50626.0,3,0,0,0,1
916,443.0,50626.0,3,0,0,0,1
74,50626.0,443.0,1,0,0,0,1
916,443.0,50626.0,3,0,0,0,1
916,443.0,50626.0,3,0,0,0,1
74,50626.0,443.0,1,0,0,0,1
905,443.0,50626.0,3,0,0,0,1
74,50626.0,443.0,1,0,0,0,1
948,443.0,50626.0,3,0,0,0,1
74,50626.0,443.0,1,0,0,0,1
948,443.0,50626.0,3,0,0,0,1
948,443.0,50626.0,3,0,0,0,1
74,50626.0,443.0,1,0,0,0,1
948,443.0,50626.0,3,0,0,0,1
74,50626.0,443.0,1,0,0,0,1
948,443.0,50626.0,3,0,0,0,1
74,50626.0,443.0,1,0,0,0,1
948,443.0,50626.0,3,0,0,0,1
74,50626.0,443.0,1,0,0,0,1
948,443.0,50626.0,3,0,0,0,1
948,443.0,50626.0,3,0,0,0,1
